pin,pad,net,direction,safe_state,class
1,RESETn,RADIO_RESET_N,input,low,reset
2,GND,GND,power,connected,ground
3,RFIO,RF_50OHM,rf,matched,rf
4,GND,GND,power,connected,ground
5,PB06,SPARE_PB06,unused,analog_disabled,spare
6,PB05,SPARE_PB05,unused,analog_disabled,spare
7,PB04,SPARE_PB04,unused,analog_disabled,spare
8,PB03,AUD_RESET_N,output,low,processor_link
9,PB02,AUD_REQ_N,input,pull_up,processor_link
10,PB01,AUD_CSN,output,high,processor_link
11,PB00,AUD_SCLK,output,low,processor_link
12,PA00,ACCESSORY_ID_ADC,analog_input,high_z,accessory
13,PA01,RADIO_SWCLK,input,high_z,debug
14,PA02,RADIO_SWDIO,bidirectional,high_z,debug
15,PA03,RADIO_SWO,output,high_z,debug
16,PA04,RADIO_UART_TX,output,high,diagnostic
17,PA05,RADIO_UART_RX,input,pull_up,diagnostic
18,DECOUPLE,NC_DECOUPLE,no_connect,no_connect,reserved
19,PA06,RADIO_TX_START,output,low,timing_marker
20,PA07,AUD_COPI,output,low,processor_link
21,PA08,AUD_CIPO,input,high_z,processor_link
22,PA09,RADIO_RESET_REQ_N,input,pull_up,peer_recovery
23,PA10,CREW_JOIN_BUTTON_N,input,pull_up,control
24,VDCDC,NC_VDCDC,no_connect,no_connect,reserved
25,VREGVDD,V_RADIO,power,decoupled_10uf,supply
26,IOVDD,V_RADIO,power,decoupled_10uf,supply
27,GND,GND,power,connected,ground
28,PD05,POWER_BUTTON_SENSE_N,input,pull_up,control
29,PD04,VOLUME_UP_N,input,pull_up,control
30,PD03,VOLUME_DOWN_N,input,pull_up,control
31,PD02,POWER_ALERT_N,input,pull_up,power_status
32,PD01,LFXO_IN_OPTION,analog,dnp,clock_option
33,PD00,LFXO_OUT_OPTION,analog,dnp,clock_option
34,PC00,STATUS_RED,output,low,indicator
35,PC01,STATUS_GREEN,output,low,indicator
36,PC02,STATUS_BLUE,output,low,indicator
37,PC03,HAPTIC_EN,output,low,indicator
38,PC04,ACCESSORY_PRESENT_N,input,pull_up,accessory
39,PC05,PACK_WAKE_N,input,pull_up,power_status
40,PC06,RADIO_PTI_FRAME,output,low,packet_trace
41,PC07,RADIO_PTI_DATA,output,low,packet_trace
42,PC08,RADIO_SCHEDULE_MARKER,output,low,timing_marker
43,PC09,SPARE_PC09,unused,analog_disabled,spare
44,GND,GND,power,connected,ground
45,GND,GND,power,connected,ground
46,GND,GND,power,connected,ground
47,GND,GND,power,connected,ground
48,GND,GND,power,connected,ground
