time_us,event,node_id,packet_id,details_json
0,voice_frame_generated,1,1,"{""sequence"": 0}"
0,tx_start,1,1,"{""airtime_us"": 1316}"
500,voice_frame_generated,2,2,"{""sequence"": 0}"
500,collision_detected,2,2,"{""with_packet_id"": 1}"
500,tx_start,2,2,"{""airtime_us"": 1316}"
1000,voice_frame_generated,3,3,"{""sequence"": 0}"
1000,collision_detected,3,3,"{""with_packet_id"": 1}"
1000,collision_detected,3,3,"{""with_packet_id"": 2}"
1000,tx_start,3,3,"{""airtime_us"": 1316}"
1316,packet_collided,1,1,{}
1500,voice_frame_generated,4,4,"{""sequence"": 0}"
1500,collision_detected,4,4,"{""with_packet_id"": 2}"
1500,collision_detected,4,4,"{""with_packet_id"": 3}"
1500,tx_start,4,4,"{""airtime_us"": 1316}"
1816,packet_collided,2,2,{}
2000,voice_frame_generated,5,5,"{""sequence"": 0}"
2000,collision_detected,5,5,"{""with_packet_id"": 3}"
2000,collision_detected,5,5,"{""with_packet_id"": 4}"
2000,tx_start,5,5,"{""airtime_us"": 1316}"
2316,packet_collided,3,3,{}
2500,voice_frame_generated,6,6,"{""sequence"": 0}"
2500,collision_detected,6,6,"{""with_packet_id"": 4}"
2500,collision_detected,6,6,"{""with_packet_id"": 5}"
2500,tx_start,6,6,"{""airtime_us"": 1316}"
2816,packet_collided,4,4,{}
3316,packet_collided,5,5,{}
3816,packet_collided,6,6,{}
20000,voice_frame_generated,1,7,"{""sequence"": 1}"
20000,tx_start,1,7,"{""airtime_us"": 1316}"
20500,voice_frame_generated,2,8,"{""sequence"": 1}"
20500,collision_detected,2,8,"{""with_packet_id"": 7}"
20500,tx_start,2,8,"{""airtime_us"": 1316}"
21000,voice_frame_generated,3,9,"{""sequence"": 1}"
21000,collision_detected,3,9,"{""with_packet_id"": 7}"
21000,collision_detected,3,9,"{""with_packet_id"": 8}"
21000,tx_start,3,9,"{""airtime_us"": 1316}"
21316,packet_collided,1,7,{}
