time_us,event,node_id,packet_id,details_json
0,coordinator_selected,1,,"{""previous_id"": null}"
0,voice_frame_generated,1,1,"{""sequence"": 0}"
0,queue_depth,1,,"{""depth"": 1}"
0,tx_start,1,1,"{""airtime_us"": 1316, ""kind"": ""voice""}"
1316,packet_delivered,1,1,"{""kind"": ""voice"", ""latency_us"": 1318}"
2500,voice_frame_generated,2,2,"{""sequence"": 0}"
2500,queue_depth,2,,"{""depth"": 1}"
2500,tx_start,2,2,"{""airtime_us"": 1316, ""kind"": ""voice""}"
3816,packet_delivered,2,2,"{""kind"": ""voice"", ""latency_us"": 1318}"
5000,voice_frame_generated,3,3,"{""sequence"": 0}"
5000,queue_depth,3,,"{""depth"": 1}"
5000,tx_start,3,3,"{""airtime_us"": 1316, ""kind"": ""voice""}"
6316,packet_delivered,3,3,"{""kind"": ""voice"", ""latency_us"": 1318}"
7500,voice_frame_generated,4,4,"{""sequence"": 0}"
7500,queue_depth,4,,"{""depth"": 1}"
7500,tx_start,4,4,"{""airtime_us"": 1316, ""kind"": ""voice""}"
8816,packet_delivered,4,4,"{""kind"": ""voice"", ""latency_us"": 1318}"
10000,voice_frame_generated,5,5,"{""sequence"": 0}"
10000,queue_depth,5,,"{""depth"": 1}"
10000,tx_start,5,5,"{""airtime_us"": 1316, ""kind"": ""voice""}"
11316,packet_delivered,5,5,"{""kind"": ""voice"", ""latency_us"": 1318}"
12500,voice_frame_generated,6,6,"{""sequence"": 0}"
12500,queue_depth,6,,"{""depth"": 1}"
12500,tx_start,6,6,"{""airtime_us"": 1316, ""kind"": ""voice""}"
13816,packet_delivered,6,6,"{""kind"": ""voice"", ""latency_us"": 1318}"
16000,tx_start,1,7,"{""airtime_us"": 484, ""kind"": ""heartbeat""}"
16484,packet_delivered,1,7,"{""kind"": ""heartbeat"", ""latency_us"": 486}"
16484,heartbeat_received,1,7,{}
20000,voice_frame_generated,1,8,"{""sequence"": 1}"
20000,queue_depth,1,,"{""depth"": 1}"
20000,tx_start,1,8,"{""airtime_us"": 1316, ""kind"": ""voice""}"
21316,packet_delivered,1,8,"{""kind"": ""voice"", ""latency_us"": 1318}"
22500,voice_frame_generated,2,9,"{""sequence"": 1}"
22500,queue_depth,2,,"{""depth"": 1}"
22500,tx_start,2,9,"{""airtime_us"": 1316, ""kind"": ""voice""}"
23816,packet_delivered,2,9,"{""kind"": ""voice"", ""latency_us"": 1318}"
25000,voice_frame_generated,3,10,"{""sequence"": 1}"
25000,queue_depth,3,,"{""depth"": 1}"
25000,tx_start,3,10,"{""airtime_us"": 1316, ""kind"": ""voice""}"
26316,packet_delivered,3,10,"{""kind"": ""voice"", ""latency_us"": 1318}"
27500,voice_frame_generated,4,11,"{""sequence"": 1}"
27500,queue_depth,4,,"{""depth"": 1}"
27500,tx_start,4,11,"{""airtime_us"": 1316, ""kind"": ""voice""}"
28816,packet_delivered,4,11,"{""kind"": ""voice"", ""latency_us"": 1318}"
30000,voice_frame_generated,5,12,"{""sequence"": 1}"
30000,queue_depth,5,,"{""depth"": 1}"
30000,tx_start,5,12,"{""airtime_us"": 1316, ""kind"": ""voice""}"
31316,packet_delivered,5,12,"{""kind"": ""voice"", ""latency_us"": 1318}"
32500,voice_frame_generated,6,13,"{""sequence"": 1}"
32500,queue_depth,6,,"{""depth"": 1}"
32500,tx_start,6,13,"{""airtime_us"": 1316, ""kind"": ""voice""}"
33816,packet_delivered,6,13,"{""kind"": ""voice"", ""latency_us"": 1318}"
40000,voice_frame_generated,1,14,"{""sequence"": 2}"
40000,queue_depth,1,,"{""depth"": 1}"
40000,tx_start,1,14,"{""airtime_us"": 1316, ""kind"": ""voice""}"
41316,packet_delivered,1,14,"{""kind"": ""voice"", ""latency_us"": 1318}"
42500,voice_frame_generated,2,15,"{""sequence"": 2}"
42500,queue_depth,2,,"{""depth"": 1}"
42500,tx_start,2,15,"{""airtime_us"": 1316, ""kind"": ""voice""}"
43816,packet_delivered,2,15,"{""kind"": ""voice"", ""latency_us"": 1318}"
45000,voice_frame_generated,3,16,"{""sequence"": 2}"
45000,queue_depth,3,,"{""depth"": 1}"
45000,tx_start,3,16,"{""airtime_us"": 1316, ""kind"": ""voice""}"
46316,packet_delivered,3,16,"{""kind"": ""voice"", ""latency_us"": 1318}"
47500,voice_frame_generated,4,17,"{""sequence"": 2}"
47500,queue_depth,4,,"{""depth"": 1}"
47500,tx_start,4,17,"{""airtime_us"": 1316, ""kind"": ""voice""}"
48816,packet_delivered,4,17,"{""kind"": ""voice"", ""latency_us"": 1318}"
50000,voice_frame_generated,5,18,"{""sequence"": 2}"
50000,queue_depth,5,,"{""depth"": 1}"
50000,tx_start,5,18,"{""airtime_us"": 1316, ""kind"": ""voice""}"
51316,packet_delivered,5,18,"{""kind"": ""voice"", ""latency_us"": 1318}"
52500,voice_frame_generated,6,19,"{""sequence"": 2}"
52500,queue_depth,6,,"{""depth"": 1}"
52500,tx_start,6,19,"{""airtime_us"": 1316, ""kind"": ""voice""}"
53816,packet_delivered,6,19,"{""kind"": ""voice"", ""latency_us"": 1318}"
60000,voice_frame_generated,1,20,"{""sequence"": 3}"
60000,queue_depth,1,,"{""depth"": 1}"
60000,tx_start,1,20,"{""airtime_us"": 1316, ""kind"": ""voice""}"
61316,packet_delivered,1,20,"{""kind"": ""voice"", ""latency_us"": 1318}"
62500,voice_frame_generated,2,21,"{""sequence"": 3}"
62500,queue_depth,2,,"{""depth"": 1}"
62500,tx_start,2,21,"{""airtime_us"": 1316, ""kind"": ""voice""}"
63816,packet_delivered,2,21,"{""kind"": ""voice"", ""latency_us"": 1318}"
65000,voice_frame_generated,3,22,"{""sequence"": 3}"
65000,queue_depth,3,,"{""depth"": 1}"
65000,tx_start,3,22,"{""airtime_us"": 1316, ""kind"": ""voice""}"
66316,packet_delivered,3,22,"{""kind"": ""voice"", ""latency_us"": 1318}"
67500,voice_frame_generated,4,23,"{""sequence"": 3}"
67500,queue_depth,4,,"{""depth"": 1}"
67500,tx_start,4,23,"{""airtime_us"": 1316, ""kind"": ""voice""}"
68816,packet_delivered,4,23,"{""kind"": ""voice"", ""latency_us"": 1318}"
70000,voice_frame_generated,5,24,"{""sequence"": 3}"
70000,queue_depth,5,,"{""depth"": 1}"
70000,tx_start,5,24,"{""airtime_us"": 1316, ""kind"": ""voice""}"
71316,packet_delivered,5,24,"{""kind"": ""voice"", ""latency_us"": 1318}"
72500,voice_frame_generated,6,25,"{""sequence"": 3}"
72500,queue_depth,6,,"{""depth"": 1}"
72500,tx_start,6,25,"{""airtime_us"": 1316, ""kind"": ""voice""}"
73816,packet_delivered,6,25,"{""kind"": ""voice"", ""latency_us"": 1318}"
80000,voice_frame_generated,1,26,"{""sequence"": 4}"
80000,queue_depth,1,,"{""depth"": 1}"
80000,tx_start,1,26,"{""airtime_us"": 1316, ""kind"": ""voice""}"
81316,packet_delivered,1,26,"{""kind"": ""voice"", ""latency_us"": 1318}"
82500,voice_frame_generated,2,27,"{""sequence"": 4}"
82500,queue_depth,2,,"{""depth"": 1}"
82500,tx_start,2,27,"{""airtime_us"": 1316, ""kind"": ""voice""}"
83816,packet_delivered,2,27,"{""kind"": ""voice"", ""latency_us"": 1318}"
85000,voice_frame_generated,3,28,"{""sequence"": 4}"
85000,queue_depth,3,,"{""depth"": 1}"
85000,tx_start,3,28,"{""airtime_us"": 1316, ""kind"": ""voice""}"
86316,packet_delivered,3,28,"{""kind"": ""voice"", ""latency_us"": 1318}"
87500,voice_frame_generated,4,29,"{""sequence"": 4}"
87500,queue_depth,4,,"{""depth"": 1}"
87500,tx_start,4,29,"{""airtime_us"": 1316, ""kind"": ""voice""}"
88816,packet_delivered,4,29,"{""kind"": ""voice"", ""latency_us"": 1318}"
90000,voice_frame_generated,5,30,"{""sequence"": 4}"
90000,queue_depth,5,,"{""depth"": 1}"
90000,tx_start,5,30,"{""airtime_us"": 1316, ""kind"": ""voice""}"
91316,packet_delivered,5,30,"{""kind"": ""voice"", ""latency_us"": 1318}"
92500,voice_frame_generated,6,31,"{""sequence"": 4}"
92500,queue_depth,6,,"{""depth"": 1}"
92500,tx_start,6,31,"{""airtime_us"": 1316, ""kind"": ""voice""}"
93816,packet_delivered,6,31,"{""kind"": ""voice"", ""latency_us"": 1318}"
100000,voice_frame_generated,1,32,"{""sequence"": 5}"
100000,queue_depth,1,,"{""depth"": 1}"
100000,tx_start,1,32,"{""airtime_us"": 1316, ""kind"": ""voice""}"
101316,packet_delivered,1,32,"{""kind"": ""voice"", ""latency_us"": 1318}"
102500,voice_frame_generated,2,33,"{""sequence"": 5}"
102500,queue_depth,2,,"{""depth"": 1}"
102500,tx_start,2,33,"{""airtime_us"": 1316, ""kind"": ""voice""}"
103816,packet_delivered,2,33,"{""kind"": ""voice"", ""latency_us"": 1318}"
105000,voice_frame_generated,3,34,"{""sequence"": 5}"
105000,queue_depth,3,,"{""depth"": 1}"
105000,tx_start,3,34,"{""airtime_us"": 1316, ""kind"": ""voice""}"
106316,packet_delivered,3,34,"{""kind"": ""voice"", ""latency_us"": 1318}"
107500,voice_frame_generated,4,35,"{""sequence"": 5}"
107500,queue_depth,4,,"{""depth"": 1}"
107500,tx_start,4,35,"{""airtime_us"": 1316, ""kind"": ""voice""}"
108816,packet_delivered,4,35,"{""kind"": ""voice"", ""latency_us"": 1318}"
110000,voice_frame_generated,5,36,"{""sequence"": 5}"
110000,queue_depth,5,,"{""depth"": 1}"
110000,tx_start,5,36,"{""airtime_us"": 1316, ""kind"": ""voice""}"
