time_us,event,node_id,packet_id,details_json
0,voice_frame_generated,1,1,"{""sequence"": 0}"
0,tx_start,1,1,"{""airtime_us"": 1316}"
1316,packet_delivered,1,1,"{""latency_us"": 1318}"
2500,voice_frame_generated,2,2,"{""sequence"": 0}"
2500,tx_start,2,2,"{""airtime_us"": 1316}"
3816,packet_delivered,2,2,"{""latency_us"": 1318}"
5000,voice_frame_generated,3,3,"{""sequence"": 0}"
5000,tx_start,3,3,"{""airtime_us"": 1316}"
6316,packet_delivered,3,3,"{""latency_us"": 1318}"
7500,voice_frame_generated,4,4,"{""sequence"": 0}"
7500,tx_start,4,4,"{""airtime_us"": 1316}"
8816,packet_delivered,4,4,"{""latency_us"": 1318}"
10000,voice_frame_generated,5,5,"{""sequence"": 0}"
10000,tx_start,5,5,"{""airtime_us"": 1316}"
11316,packet_delivered,5,5,"{""latency_us"": 1318}"
12500,voice_frame_generated,6,6,"{""sequence"": 0}"
12500,tx_start,6,6,"{""airtime_us"": 1316}"
13816,packet_delivered,6,6,"{""latency_us"": 1318}"
20000,voice_frame_generated,1,7,"{""sequence"": 1}"
20000,tx_start,1,7,"{""airtime_us"": 1316}"
21316,packet_delivered,1,7,"{""latency_us"": 1318}"
22500,voice_frame_generated,2,8,"{""sequence"": 1}"
22500,tx_start,2,8,"{""airtime_us"": 1316}"
23816,packet_delivered,2,8,"{""latency_us"": 1318}"
25000,voice_frame_generated,3,9,"{""sequence"": 1}"
25000,tx_start,3,9,"{""airtime_us"": 1316}"
26316,packet_delivered,3,9,"{""latency_us"": 1318}"
27500,voice_frame_generated,4,10,"{""sequence"": 1}"
27500,tx_start,4,10,"{""airtime_us"": 1316}"
28816,packet_delivered,4,10,"{""latency_us"": 1318}"
30000,voice_frame_generated,5,11,"{""sequence"": 1}"
30000,tx_start,5,11,"{""airtime_us"": 1316}"
31316,packet_delivered,5,11,"{""latency_us"": 1318}"
32500,voice_frame_generated,6,12,"{""sequence"": 1}"
